"Dev_ID","Geographic_Regions","Int_Learn","Fin_Gain","Expt_Het","Tech_Cont_Norm","Sys_Int","Cod_Test_Task","Cont_Code_Dec","Dec_Right_Dec","Dev_Inv","Proj_Desertion","Promoted","Project_Age","Dev_Status","Gender","Age","Education","Dev_Experience"
1001,"Asia",6,5,2,4.67,5.5,4.8,3.8,4.2,4,7,0,"<1 year","Planning","M","30–39","Doctorate",1
1002,"North America",5.67,4.75,2.33,4.5,4.75,4.6,4,3.6,6.2,2.4,1,"2-3 years","Alpha","F","40–49","Doctorate",5
1003,"Caribbean",6.67,6.5,1,4.83,6,6.2,5.4,3.6,6.8,4,0,"<1 year","Pre-alpha","F","30–39","Masters",1
1004,"Central America",5.67,5.75,1.33,5.33,6.5,3.8,1.8,2.2,7,1.4,1,"<1 year","Planning","M","30–39","Masters",1
1005,"Europe",5,5.5,2.33,4.67,5,4.2,3.2,4.2,4.4,3.8,0,"1-2 years","Pre-alpha","M","30–39","Doctorate",2
1006,"North America",5.67,6.5,1.33,5.17,6.25,4.4,4.4,3,4.4,6,0,"4-5 years","Stable Maturity","F","30–39","Bachelors",1
1007,"Oceania",2,2,6,3.67,2.75,2,2.4,3.2,1.2,5.8,0,"1-2 years","Pre-alpha","M","30–39","Doctorate",3
1008,"South America",4.33,2.5,5,2.17,2,1.6,1.2,1.6,1.8,6.2,0,"2-3 years","Planning","M","30–39","Doctorate",3
1009,"Asia",6,5.5,2.33,5,5.25,4.6,4.4,4.6,5.4,2.2,1,"3-4 years","Beta","F","40–49","Doctorate",5
1010,"Asia",6,6.25,1.33,5.33,5.75,5,3.6,4,6.2,3,1,"4-5 years","Stable Maturity","M","40–49","Doctorate",5
1011,"Oceania",7,5.75,2.33,5.33,6.5,5.8,3.2,4.8,4.6,6.4,0,"2-3 years","Beta","M","40–49","Masters",5
1012,"Asia",6,5,4.33,3.5,5,3,3,1.2,4.8,4.8,0,"3-4 years","Planning","F","40–49","Doctorate",1
1013,"Asia",4.67,5.25,3.33,4.67,4.5,4.4,3.2,3.4,5,4,0,">5 years","Alpha","M","40–49","Doctorate",3
1014,"Africa",5,5.5,2,4.83,6.25,5.2,4,4,5.4,3.6,0,"<1 year","Pre-alpha","M","30–39","Masters",1
1015,"Europe",7,6,1,5.33,7,6.2,4.4,4.8,6.8,1.4,1,"2-3 years","Planning","M","40–49","Masters",1
1016,"Europe",5.67,4.75,1.33,5.33,6.5,5.4,3.2,1.6,5.2,5,0,"1-2 years","Maturity","M","30–39","Masters",2
1017,"Asia",5,3.75,2.33,4.67,4.25,4.4,4.8,2.6,3.4,3,0,"1-2 years","Planning","M","30–39","Doctorate",3
1018,"Europe",5.33,6,2,5.17,6.25,4.8,3.8,4,4.6,5,0,"1-2 years","Alpha","M","40–49","Doctorate",2
1019,"Asia",5,5.5,3,5,5.5,5.2,3.8,4,5,3.2,0,"<1 year","Planning","M","20–29","Bachelors",1
1020,"Europe",7,5.5,1,5,5.25,4.6,2.8,3.6,4.8,5.6,0,"2-3 years","Alpha","M","30–39","Bachelors",3
1021,"North America",6,6.5,1.67,5,5.75,4.6,3.2,3,4.4,5,0,"<1 year","Pre-alpha","M","30–39","Masters",1
1022,"Europe",5.67,5.25,4,4.5,5,5,3.4,4.2,4.6,4,0,">5 years","Alpha","M","20–29","Masters",3
1023,"Europe",5,2.25,3.67,3.67,4.25,3,4,3.8,3,5,0,"<1 year","Planning","M","20–29","Bachelors",2
1024,"Europe",4.33,4,4,3.83,4,3.8,3.8,4,3.4,5.2,0,"1-2 years","Alpha","M","30–39","Masters",2
1025,"Asia",6.67,6.25,2.67,4.83,5.25,5.4,3.6,3.4,5.2,4.8,0,"3-4 years","Alpha","M","30–39","Doctorate",4
1026,"Europe",6,5.5,1.33,5.17,6.5,6,3.4,4,5.2,4.6,0,"2-3 years","Pre-alpha","M","20–29","Masters",3
1027,"Europe",5,3.75,2.33,4.67,6,5,4.6,4.6,5,4,0,">5 years","Planning","M","40–49","Bachelors",6
1028,"Europe",4.67,4,3.67,4.67,5.25,5,4.2,4.6,4.8,3.4,0,"2-3 years","Beta","M","30–39","Doctorate",4
1029,"North America",6,6.75,1,5.33,6.5,5,5.2,4.2,5.8,4.2,0,"2-3 years","Alpha","M",">50","Bachelors",4
1030,"Europe",7,6.5,1.33,5.33,7,5.2,4,4,6,3.8,0,"1-2 years","Pre-alpha","M","40–49","Masters",1
1031,"Europe",6.33,6.5,2,4.83,6.5,5.4,3.6,4,5.8,4.4,0,"<1 year","Planning","M","40–49","Doctorate",2
1032,"Europe",5.33,6,1.67,5,5,5.8,4.2,4.8,5.6,3.2,0,"2-3 years","Stable Maturity","M","30–39","Doctorate",4
1033,"Africa",4,4,4,4,4,4,4.4,3.6,4.2,3.6,0,"<1 year","Planning","M","30–39","Doctorate",1
1034,"Europe",7,7,1.33,5.33,6.75,6,5.4,4,6.2,3,1,"4-5 years","Maturity","M","30–39","Bachelors",6
1035,"North America",5.67,6.5,2.33,4.83,5.25,4.6,4.2,2.8,5.4,2.2,1,"3-4 years","Beta","M","20–29","Finished high School",4
1036,"Europe",6,5.25,1.67,5.17,6.25,6.2,3.8,4.2,5.6,4,0,"1-2 years","Pre-alpha","F","20–29","Finished high School",2
1037,"North America",6,6.75,1,5.33,5.5,5.2,2.8,3.6,5.4,4,0,"<1 year","Planning","M","20–29","Finished high School",1
1038,"North America",6.67,6.5,1.33,5.17,6.75,5.2,4.2,4.4,6,4.2,0,"3-4 years","Beta","M","20–29","Finished high School",4
